,index,Unnamed: 0,Reporter Identifier,stat,p,fold_change,beta1,beta2,Rejection on 0.05,qval,id1,id2
93,152615,152615,cg13353717,6.716403609414555,3.7377320237635314e-10,0.4167764805865336,0.2095774375,0.08734694681159423,True,0.00016177876852963013,0,3
95,153491,153491,cg02286081,8.530811336573338,1.579315770595999e-14,0.5907263373199552,0.2599984083333333,0.1535879074637681,True,6.824977250019515e-09,0,3
96,153492,153492,cg22483030,6.681830898112213,4.4814671819580717e-10,0.648991962457698,0.3034764833333334,0.1969537984782609,True,0.00019396508880464847,0,3
98,153494,153494,cg12365667,5.710305625406575,5.975938302768518e-08,0.6119971335137989,0.09421341333333334,0.05765833889855074,True,0.02552858834917615,0,3
99,153495,153495,cg12939283,8.115014876351374,1.7231492239263724e-13,0.5996085060309511,0.2758722416666667,0.16541534268115948,True,7.459256401443071e-08,0,3
100,155134,155134,ch.6.33611621F,6.688902567212503,4.3183318097347665e-10,0.5853540357369467,0.08123213916666668,0.047549560492753634,True,0.00018690586542657872,0,3
110,186279,186279,cg14464244,7.336237316760216,1.340941511195075e-11,0.4743357078253378,0.3876698,0.18388562898550714,True,5.804798519637444e-06,0,3
113,191244,191244,cg18887458,6.069522384000781,1.0279954811113847e-08,0.6630651348494901,0.374875875,0.2485671226086956,True,0.004439230408579076,0,3
117,193080,193080,cg14361627,-7.467558995393803,6.515567171655826e-12,1.5292605883236887,0.14204485833333333,0.21722360362318835,True,2.820571453843179e-06,0,3
121,196796,196796,cg08540945,-6.3419458323129785,2.6011363370994153e-09,1.6061463901272692,0.09611379083333337,0.1543728181884058,True,0.001125213699587846,0,3
132,236410,236410,cg26332926,5.877574703634241,2.653177706790424e-08,0.6088721865270993,0.28832915,0.17555559999999998,True,0.011416331568428584,0,3
161,302881,302881,ch.13.39564907R,7.474142502122303,6.283126286767392e-12,0.5771051194148071,0.09822745416666666,0.05668756666666665,True,2.7199375850495144e-06,0,3
162,306327,306327,cg26685941,7.5979416944181075,3.1654573997910644e-12,0.6172986309264207,0.27949792500000004,0.1725336864492754,True,1.3703364406536522e-06,0,3
164,307823,307823,cg05404236,-6.910628944160753,1.3371526796408626e-10,2.101937199255989,0.16031498083333334,0.33697202181159425,True,5.787964997849837e-05,0,3
169,320943,320943,ch.14.97331099F,6.725207399014993,3.568674532737553e-10,0.5449398526071338,0.0569513975,0.031035086159420286,True,0.00015446241658401139,0,3
171,326707,326707,cg04875128,-9.01303336277744,9.43690673340953e-16,3.07229121118723,0.08888923916666668,0.2730936282608697,True,4.32570979036484e-10,0,3
177,332602,332602,ch.15.67797584R,5.63277726129648,8.666246552431648e-08,0.6615944548050645,0.16438887333333332,0.10875876702898547,True,0.03680597756178838,0,3
188,366652,366652,cg23798387,7.0015610122722425,8.22420094546989e-11,0.5936260138048065,0.16620114166666666,0.09866132121739128,True,3.5599950402254166e-05,0,3
200,388068,388068,cg19283806,8.389301693663047,3.5778666330556884e-14,0.6213964871651929,0.4073370666666667,0.2531178223188407,True,1.5476213754972434e-08,0,3
201,388532,388532,cg16762684,8.756472002205978,4.249165833673428e-15,0.5079104715744849,0.0972285175,0.049383382173913054,True,1.8264065815287722e-09,0,3
202,395549,395549,cg10604476,-5.71429402858757,5.8622810391104256e-08,1.5652898016187438,0.3359378083333333,0.5258400253623189,True,0.025049246473445197,0,3
210,398372,398372,ch.19.16251119F,5.642552451934622,8.270837876060317e-08,0.6067358231535621,0.04905683416666667,0.029764538659420286,True,0.03515685662113344,0,3
221,419109,419109,ch.20.1295406F,6.414185569003756,1.7970524792895079e-09,0.5282186052096162,0.06357114500000001,0.03357946154347827,True,0.0007775373628909898,0,3
226,430887,430887,cg00343092,6.324031627466117,2.8499760051190367e-09,0.5779667447214654,0.12175538166666668,0.07037056159420292,True,0.0012327832258662852,0,3
7,11080,11080,ch.1.839062R,7.8101930481218735,4.840650482989478e-13,0.6177966339789006,0.10480655333333333,0.06474913586826346,True,2.0952947843433378e-07,0,4
10,14257,14257,cg01747664,8.0057352748859,1.5172462093223438e-13,0.6460830039741664,0.24770743333333334,0.16003956263473054,True,6.569543842260828e-08,0,4
12,15228,15228,cg15728256,-5.697539684559692,4.985127439284532e-08,1.5925485770098426,0.1290103525,0.2054552532934132,True,0.02132663803858892,0,4
25,23830,23830,cg05675373,-6.714967719824874,2.467092469561782e-10,1.5427161045372362,0.11289675166666667,0.17416763694610773,True,0.00010675598425236021,0,4
29,25119,25119,cg04400972,-5.8346040601318165,2.5152060842750132e-08,1.7985134615832816,0.08642693833333333,0.15544001203592814,True,0.01081923745373592,0,4
48,32087,32087,ch.1.171672612F,7.88855388455158,3.045550761375552e-13,0.6332327526702739,0.09352164166666667,0.05922096658682631,True,1.3182156821667235e-07,0,4
51,34568,34568,cg24155190,9.37453332886269,3.2935885904056507e-17,0.6618089087439951,0.14543145,0.09624782922155688,True,0.0,0,4
55,36379,36379,cg10501210,12.031183512387178,9.510175153795742e-25,0.5575018630899597,0.9022541583333336,0.503008374251497,True,0.0,0,4
68,46050,46050,cg16361302,-5.904179675014343,1.7703880419923997e-08,1.876087340596356,0.06319932833333332,0.11856745982035925,True,0.007628092855546997,0,4
69,48005,48005,ch.2.30415474F,8.900753073494638,6.454016269626049e-16,0.5552324533690747,0.10512605833333333,0.058369399281437126,True,2.8836666388087906e-10,0,4
76,51849,51849,cg11807280,7.799170580086581,5.165792788816147e-13,0.6433047189130721,0.6607366833333334,0.4250550263473055,True,2.2360869256221605e-07,0,4
86,56915,56915,cg24079702,-10.11690130313707,2.834728838680463e-19,1.52119919780767,0.2703039166666667,0.4111861011976047,True,0.0,0,4
87,57011,57011,ch.2.105901354F,9.022158942847504,3.0261639508191555e-16,0.4730428897444938,0.09627877083333336,0.045543987976047896,True,1.441839980742543e-10,0,4
88,60029,60029,cg23606718,-6.814230572506838,1.431069926170023e-10,1.6463293957585,0.12268658083333332,0.20198252449101806,True,6.192876877308962e-05,0,4
90,61222,61222,cg00573770,9.449329492533522,2.0496781795385998e-17,0.6058911494697276,0.5351627333333333,0.3242503636526946,True,0.0,0,4
96,67124,67124,ch.2.207814544R,7.2779088697987175,1.0628661598268571e-11,0.5157242352139002,0.07763832833333334,0.04003996750299402,True,4.600264011167532e-06,0,4
105,72166,72166,cg12912690,-5.7388747341713895,4.060208136931552e-08,1.5583480579135556,0.15051933333333334,0.2345615107784431,True,0.01740524019265255,0,4
108,73810,73810,cg21117668,-6.0803510492734025,7.193475351752771e-09,2.4666787761011357,0.044602477500000015,0.11001998461077844,True,0.0031070246667885826,0,4
113,76375,76375,cg08468401,7.950134757051551,2.1129369495973878e-13,0.6171079448751405,0.3952492333333333,0.2439114420958082,True,9.145437362967357e-08,0,4
122,81138,81138,cg13033938,7.518771968676348,2.6611040883944096e-12,0.6447970844109245,0.073915955,0.0476607922754491,True,1.151829737588983e-06,0,4
126,81420,81420,cg13682223,5.683451692277894,5.345145741793691e-08,0.14367283408369866,0.09286381108333333,0.013342006922155685,True,0.022848775110831276,0,4
128,81776,81776,cg12934382,-10.119563603574072,2.786309740803875e-19,1.6217622018060591,0.2993254,0.4854346197604793,True,0.0,0,4
133,82324,82324,cg03607117,-7.576688952573594,1.901188938362617e-12,1.584704978608488,0.07603978666666668,0.12050062850299402,True,8.229030628026379e-07,0,4
138,86983,86983,cg16958524,5.642967434964065,6.527052245117391e-08,0.6523467904221288,0.12685427749999995,0.08275298077844306,True,0.0278293155071494,0,4
143,92253,92253,cg09401099,-6.266098094518874,2.73551270119209e-09,2.125677724354493,0.06332307583333334,0.134604451736527,True,0.0011828140259121378,0,4
145,92656,92656,cg07553761,-6.9199713944343895,7.973060585977388e-11,1.506905805409416,0.19958930833333333,0.30076228742514993,True,3.450431748308613e-05,0,4
154,102718,102718,cg20816447,8.430862825625246,1.16752382655514e-14,0.6183964445129213,0.3447371333333333,0.21318421754491024,True,5.0462301004472465e-09,0,4
157,104472,104472,cg25150953,6.378282205826054,1.5129234666664705e-09,0.5782905332383231,0.2432529083333333,0.14067085407185626,True,0.0006543899490440985,0,4
164,112036,112036,cg02650266,-6.2093028260128085,3.6832575745504604e-09,1.9151518373042704,0.07144708500000001,0.1368320161077844,True,0.0015922408700280721,0,4
165,112037,112037,cg05991454,-6.0315051770792305,9.248903489493469e-09,1.6400103326464852,0.10804251083333334,0.1771908341317365,True,0.003992833324424239,0,4
173,114416,114416,cg00655552,6.249456068415609,2.985155988160349e-09,0.512119108950129,0.11668730000000001,0.059757796101796386,True,0.0012906702367523337,0,4
177,122861,122861,ch.5.58219013F,5.7872046928528444,3.190222230173721e-08,0.655062359028484,0.0406501925,0.026628410994011985,True,0.013702235540232643,0,4
180,125077,125077,cg25316339,-7.310046974792058,8.846997456893049e-12,1.9696544551892263,0.05195550166666666,0.10233438532934126,True,3.829201406291283e-06,0,4
195,134675,134675,cg05207048,8.712967373922872,2.0674633524560337e-15,0.6421300496168442,0.20459781666666665,0.13137840616766466,True,9.131421174757293e-10,0,4
200,140767,140767,cg24724428,-9.648792853161304,5.753773458236305e-18,2.190963937255341,0.11642828333333333,0.2550901700598804,True,0.0,0,4
209,143812,143812,cg04861640,7.045222512629253,3.962920235345625e-11,0.6213910425754456,0.183728525,0.11416725970059885,True,1.7151048806951508e-05,0,4
217,148714,148714,cg04581938,8.978832951907481,3.96698016002763e-16,0.6325222700989211,0.116012545,0.07338051832335325,True,1.9224488667646256e-10,0,4
221,149109,149109,cg21467614,7.197847408067298,1.675740208832448e-11,0.643421290322075,0.15092643333333333,0.09710928047904197,True,7.252715665262421e-06,0,4
223,149111,149111,cg26729380,6.960467516410861,6.364716384575218e-11,0.580775027163704,0.2353414583333334,0.13668044185628742,True,2.7544791608824504e-05,0,4
234,153491,153491,cg02286081,9.992031979327828,6.3516179842492625e-19,0.536427278600665,0.2599984083333333,0.13947023862275446,True,0.0,0,4
235,153492,153492,cg22483030,8.493527022549449,7.963382306423306e-15,0.6079550916335131,0.3034764833333334,0.184500073233533,True,3.460280062483889e-09,0,4
236,153493,153493,cg26350754,9.634498355628985,6.303853852963937e-18,0.6114915026941266,0.27773241666666665,0.16983101281437127,True,0.0,0,4
237,153494,153494,cg12365667,6.495223575430652,8.107147209067911e-10,0.5614870171191797,0.09421341333333334,0.052899608425149694,True,0.0003507347366259461,0,4
238,153495,153495,cg12939283,10.016178966187123,5.435214812943678e-19,0.5304029466547074,0.2758722416666667,0.14632344988023954,True,0.0,0,4
239,153496,153496,cg14356799,7.016046999055826,4.666537181628877e-11,0.6397618780714857,0.194938375,0.12471414089820355,True,2.0195947809220627e-05,0,4
244,155134,155134,ch.6.33611621F,8.622192493909402,3.617440841321211e-15,0.5161476205285297,0.08123213916666668,0.041927775341317385,True,1.5859800139850222e-09,0,4
276,186279,186279,cg14464244,7.415400400032015,4.834557698738543e-12,0.4768850654966466,0.3876698,0.18487393796407192,True,2.092552687349425e-06,0,4
281,191244,191244,cg18887458,6.922852548977375,7.846460112794291e-11,0.5935818748820234,0.374875875,0.22251952473053904,True,3.3956691558589824e-05,0,4
284,193075,193075,cg00094518,-6.132627832799424,5.489460534364886e-09,2.0702682816423583,0.0841661025,0.1742464123952096,True,0.0023719943695053036,0,4
285,193080,193080,cg14361627,-8.82045484109696,1.0629523946155522e-15,1.6477887678732135,0.14204485833333333,0.2340599220958085,True,4.806055553530086e-10,0,4
286,193081,193081,cg08097417,-7.93830126083015,2.26694337086822e-13,1.504796342386555,0.13296975833333333,0.20009240598802408,True,9.813420864812628e-08,0,4
292,196796,196796,cg08540945,-6.177149239698517,4.355734389352334e-09,1.6914948980449973,0.09611379083333337,0.1625759868263474,True,0.0018826252498783669,0,4
293,197712,197712,cg00292135,-7.121526158945048,2.580192946854304e-11,2.0509770487599943,0.07590396333333332,0.1556772867065868,True,1.1167058565630938e-05,0,4
296,206921,206921,cg24882673,5.978531002891374,1.212991971315832e-08,0.6025991036731037,0.209730375,0.1263833359880239,True,0.005233044350015703,0,4
298,210736,210736,cg00570618,5.7763880368108085,3.3675027802254684e-08,0.6201444308976108,0.17431019166666664,0.10809749461077844,True,0.014457905551808259,0,4
300,211356,211356,cg26290632,-7.847852908139872,3.875283795951484e-13,1.5174685161025057,0.14807680833333334,0.22470189461077847,True,1.677681454870239e-07,0,4
317,234674,234674,cg23254047,8.148394779800018,6.456852830284173e-14,0.6107768841911722,0.21199195000000004,0.12947978269461075,True,2.7970209037775362e-08,0,4
335,245389,245389,cg18425434,-5.543674206208055,1.0612339536508501e-07,1.5357550198083092,0.1106427375,0.16992013952095805,True,0.04484759291062901,0,4
345,259537,259537,cg23186333,8.265881688145347,3.1795220311580074e-14,0.6229154999260228,0.4776083666666667,0.29750965449101785,True,1.3744874238774685e-08,0,4
356,264972,264972,cg13119578,5.985029563999545,1.1733975767199906e-08,0.664693016674518,0.15358705833333333,0.10208824512574848,True,0.005062684188161803,0,4
371,274452,274452,cg01282174,7.194993035071671,1.7030819223892288e-11,0.6312688819864551,0.301277775,0.1901872841916168,True,7.371048494686505e-06,0,4
377,278790,278790,cg11791577,6.087569787329688,6.930464210503714e-09,0.6467867223267887,0.304606825,0.19701564994011972,True,0.0029936151349007067,0,4
410,302881,302881,ch.13.39564907R,9.369992791229382,3.3896681052521355e-17,0.5357956626150191,0.09822745416666666,0.05262984389221558,True,0.0,0,4
414,303905,303905,ch.13.654879R,6.232570307939196,3.2612915168970492e-09,0.4972336459465736,0.07350134833333334,0.03654734341377245,True,0.0014099702438221673,0,4
416,306327,306327,cg26685941,9.988409439419142,6.501779594989843e-19,0.573101303738054,0.27949792500000004,0.16018062520958085,True,0.0,0,4
419,307823,307823,cg05404236,-7.665193767481298,1.1345701084090328e-12,2.265276886981068,0.16031498083333334,0.3631578207185629,True,4.910853149686645e-07,0,4
431,320943,320943,ch.14.97331099F,9.42612898553725,2.3748316759025625e-17,0.4977816402113791,0.0569513975,0.02834936005988023,True,0.0,0,4
437,326707,326707,cg04875128,-10.581700088909413,1.3781819441955256e-20,3.417438571180083,0.08888923916666668,0.303773514491018,True,0.0,0,4
444,332602,332602,ch.15.67797584R,6.708803697750361,2.5515842895848393e-10,0.6193750177657042,0.16438887333333332,0.10181836134131744,True,0.00011041142700252138,0,4
446,333036,333036,cg21801378,-5.555943658251361,9.996725418543491e-08,1.856914644046599,0.049439520000000015,0.09180496868263473,True,0.042302242273277835,0,4
458,349582,349582,cg07336350,-5.710280554839213,4.680019218028763e-08,1.5102113022872954,0.1650032416666667,0.249189760479042,True,0.020034718683652142,0,4
467,357473,357473,cg02610723,6.736764796135074,2.1898330756044522e-10,0.6464945963671942,0.17568071166666666,0.11357663077844307,True,9.475920884360889e-05,0,4
475,365949,365949,cg26695387,5.5986235816515,8.115008372115697e-08,0.6546534717679683,0.10479519,0.06860453495808387,True,0.0344803360687056,0,4
478,366265,366265,cg06419432,9.159257921916042,1.2811144913688858e-16,0.6244920732650021,0.2871568833333334,0.17932719742514971,True,4.806166575832549e-11,0,4
479,366652,366652,cg23798387,7.709240214061299,8.765955957103679e-13,0.5531694559845464,0.16620114166666666,0.09193739511976053,True,3.794536391765746e-07,0,4
481,367134,367134,cg14692377,-6.816884483928473,1.4102983264239434e-10,1.523928826529788,0.12545067499999998,0.1911778999401198,True,6.103007638025293e-05,0,4
482,367159,367159,cg21989425,6.144933991410648,5.149949120791815e-09,0.6626630916781789,0.271272875,0.17976252203592816,True,0.0022254754993475956,0,4
492,371599,371599,cg22078805,-5.7153964365953485,4.562713216176725e-08,1.5901396491261417,0.256973025,0.4086229958083832,True,0.019537704794852617,0,4
514,388068,388068,cg19283806,11.612010976985376,1.5455546367307652e-23,0.5226714033899816,0.4073370666666667,0.2129034362874252,True,0.0,0,4
515,388532,388532,cg16762684,11.454711058445525,4.387464948968241e-23,0.4323029299918305,0.0972285175,0.04203217299401196,True,0.0,0,4
524,398085,398085,cg20222376,7.347137116230943,7.155111327135806e-12,0.6649221614664045,0.22002518333333326,0.1462996204790419,True,3.0969368018940457e-06,0,4
538,405625,405625,cg11344352,6.2495408771921035,2.9838287669588115e-09,0.4862167688031574,0.050398515833333324,0.024504603520958096,True,0.0012900997242604184,0,4
551,419109,419109,ch.20.1295406F,7.52469993642134,2.571221027602808e-12,0.4626809357655492,0.06357114500000001,0.02941315685628742,True,1.1129558543654383e-06,0,4
553,422581,422581,cg05156137,9.13791796930789,1.4649390411820475e-16,0.662690963382528,0.39462901666666667,0.261517083233533,True,4.806166575832549e-11,0,4
561,430887,430887,cg00343092,7.1810537262141,1.843063614861646e-11,0.5257636683611978,0.12175538166666668,0.0640145561077844,True,7.976838288015209e-06,0,4
13,8154,8154,cg00004667,6.30918783070346,2.9120238021570364e-09,0.5999003527851877,0.08181786666666667,0.04908256707746479,True,0.0012582998116204003,0,5
17,11080,11080,ch.1.839062R,9.548476469292325,3.230255087914486e-17,0.5943692590727715,0.10480655333333333,0.06229379345070424,True,0.0,0,5
25,14257,14257,cg01747664,8.973007483332609,1.0122255127148383e-15,0.5985958642642472,0.24770743333333334,0.14827664514084507,True,4.3251902059893155e-10,0,5
27,14534,14534,cg16371538,6.2693907333368815,3.568684919458717e-09,0.6573113947228212,0.14728431083333335,0.09681165577464787,True,0.0015417526091858758,0,5
30,15228,15228,cg15728256,-6.044579027892174,1.110660537447968e-08,1.8278656150787864,0.1290103525,0.2358135873239436,True,0.004789147795949633,0,5
40,18113,18113,cg24466241,-7.46346530620061,6.068931630232199e-12,1.5688962025464703,0.20230749166666664,0.317399455422535,True,2.626147042494864e-06,0,5
52,23418,23418,cg03725309,9.301686931454867,1.4246905622131418e-16,0.6107811444364809,0.2269376833333333,0.13860925794209702,True,4.806033349069594e-11,0,5
57,25119,25119,cg04400972,-6.621813975882724,5.756905952053607e-10,2.050855766468741,0.08642693833333333,0.17724918485915495,True,0.00024895576835415323,0,5
66,27627,27627,cg00891995,7.393535677343893,8.94316190527247e-12,0.6537459273966799,0.4117448000000001,0.2691764861267605,True,3.869759954255869e-06,0,5
70,29621,29621,cg09340639,5.740343986259265,4.9709244229000595e-08,0.6622140787327948,0.14840053333333333,0.09827292246478872,True,0.021247115128518068,0,5
71,29766,29766,cg22730004,9.209213919571383,2.4781449364246885e-16,0.5766702560182054,0.34770885,0.20051335154929575,True,9.611889062455248e-11,0,5
81,32087,32087,ch.1.171672612F,8.421924407875688,2.5858790683816635e-14,0.6063065594040209,0.09352164166666667,0.05670278478873238,True,1.1196660709700268e-08,0,5
87,34568,34568,cg24155190,6.46279403444858,1.3198553817722156e-09,0.6384673387019829,0.14543145,0.09285323084507048,True,0.0005706125387627825,0,5
90,36046,36046,cg08128734,11.109893439781228,2.2934161730872244e-21,0.6642080951695049,0.6885597583333332,0.4573469654929578,True,0.0,0,5
94,36379,36379,cg10501210,14.826916631295965,2.487569783762648e-31,0.4861792421860876,0.9022541583333336,0.4386572429577463,True,0.0,0,5
114,42286,42286,cg27573991,6.239512236011282,4.155384910958583e-09,0.6461093102487585,0.660166575,0.4265397704225353,True,0.0017949221638603463,0,5
117,45540,45540,ch.2.11889418R,6.0147843676470485,1.2887589795387187e-08,0.5503013188980559,0.15275356083333333,0.08406048599295775,True,0.005554609452520065,0,5
122,48005,48005,ch.2.30415474F,11.503505890356536,2.0077849561018007e-22,0.5432807183910975,0.10512605833333333,0.05711296049295775,True,0.0,0,5
124,48852,48852,cg11176990,-5.63021990264578,8.455645563044284e-08,4.020695689613458,0.013906367083333334,0.055913270190140814,True,0.035865528432850624,0,5
125,48853,48853,cg22158769,-5.8079770022825965,3.5763333662077544e-08,5.6473079710904726,0.009430615083333331,0.05325758773239437,True,0.015333771888662584,0,5
128,50085,50085,ch.2.47286786F,6.306316061925825,2.955137967157605e-09,0.6175926014085584,0.03888981083333334,0.024018059440845074,True,0.0012769000046432,0,5
131,51246,51246,cg14305711,7.349053229710464,1.1435003259269096e-11,0.6127763444068686,0.17472765,0.1070689706338028,True,4.947896719453837e-06,0,5
136,51849,51849,cg11807280,9.41887724404332,7.050006262491234e-17,0.5660653782328171,0.6607366833333334,0.3740201605633804,True,4.806033349069594e-11,0,5
137,51850,51850,cg10835286,7.715614464927692,1.4805572338175342e-12,0.6326704123901101,0.4835193,0.3059083549295774,True,6.407384444129249e-07,0,5
145,56914,56914,cg22454769,-12.77807784381875,7.410705216848246e-26,1.592611572148501,0.40083443333333335,0.6383735570422535,True,0.0,0,5
146,56915,56915,cg24079702,-9.45950141898771,5.521528332825249e-17,1.641416902414968,0.2703039166666667,0.4436814176056337,True,0.0,0,5
147,57011,57011,ch.2.105901354F,10.022835009783515,1.8200314984047356e-18,0.4480322592188016,0.09627877083333336,0.0431359952112676,True,0.0,0,5
152,60029,60029,cg23606718,-7.7095084129516485,1.5323624837984566e-12,1.7779233634933949,0.12268658083333332,0.21812733845070426,True,6.631247031485543e-07,0,5
154,61171,61171,cg18826637,9.124886688244953,4.100214397657263e-16,0.6095972787636309,0.6882300416666668,0.4195431605633804,True,1.922364489814754e-10,0,5
155,61222,61222,cg00573770,10.512887101122,9.078995272769736e-20,0.5321620340761042,0.5351627333333333,0.2847932887323944,True,0.0,0,5
156,61223,61223,cg00602811,9.002189713584631,8.511578518595758e-16,0.6607634613748349,0.5200971583333335,0.34366119859154903,True,3.844631280003341e-10,0,5
163,64523,64523,cg13332925,5.583023590633972,1.0597461969955287e-07,0.5649097815111502,0.022617618333333332,0.012776913830985916,True,0.044740494839956346,0,5
169,67124,67124,ch.2.207814544R,9.30601623256759,1.3881948979221788e-16,0.4795357571601309,0.07763832833333334,0.03723035456197184,True,4.806033349069594e-11,0,5
178,69822,69822,cg22016779,8.34577196506093,4.0253227641048136e-14,0.6536867398669399,0.270288025,0.17668369788732394,True,1.7443321675969514e-08,0,5
184,72166,72166,cg12912690,-5.842290163167647,3.023524393029254e-08,1.5913161764380217,0.15051933333333334,0.2395238500000001,True,0.012979885936456492,0,5
187,73810,73810,cg21117668,-6.195134598177225,5.205622793559938e-09,2.8185351410416084,0.044602477500000015,0.12571365021126768,True,0.0022479643991865084,0,5
192,76375,76375,cg08468401,10.928715908784644,7.019984633546904e-21,0.5132126532815005,0.3952492333333333,0.20284690774647884,True,0.0,0,5
196,77321,77321,cg12899747,6.759766044905502,2.779564938631311e-10,0.5960700320905541,0.383440575,0.2285574358450705,True,0.00012022593408311799,0,5
199,78479,78479,cg12461082,7.648123759172927,2.16395622638448e-12,0.32402223618708315,0.2459773408333333,0.07970212802816899,True,9.364319148996714e-07,0,5
205,79881,79881,cg02352281,6.429821833723289,1.5655487145549824e-09,0.5545947932563214,0.1594222916666667,0.08841477288732398,True,0.0006767626791562842,0,5
210,81138,81138,cg13033938,8.749375956360716,3.799255291235353e-15,0.5862924441075401,0.073915955,0.04333636591549296,True,1.633926771660299e-09,0,5
213,81776,81776,cg12934382,-7.7687303244443555,1.0972213159587497e-12,1.6593816614876815,0.2993254,0.4966950795774648,True,4.74850689657913e-07,0,5
221,82324,82324,cg03607117,-6.728241349747952,3.284934510163841e-10,1.7226695591463326,0.07603978666666668,0.13099142577464787,True,0.0001420790926591753,0,5
224,83621,83621,cg18450254,7.006361314207712,7.425975723610597e-11,0.6469209353887623,0.3767747416666667,0.2437434683098593,True,3.212571947996956e-05,0,5
229,85717,85717,cg01649334,5.9450751201343275,1.822136378832589e-08,0.6441824307035336,0.227592025,0.1466107838732394,True,0.007843784331283077,0,5
235,86983,86983,cg16958524,5.604056154265627,9.584424317586783e-08,0.656341860724494,0.12685427749999995,0.08325977253521129,True,0.0405529037046819,0,5
236,87220,87220,cg07806886,-6.548168257669728,8.465141526621653e-10,1.9745016117456424,0.06512243333333334,0.1285843495774648,True,0.0003660376823705347,0,5
243,91253,91253,cg17280346,-6.2409001462044005,4.126144864076099e-09,1.714490087959749,0.2016569916666667,0.3457389133802818,True,0.0017823072774920679,0,5
248,92656,92656,cg07553761,-8.767160302631757,3.4211811183365443e-15,1.7275827092516818,0.19958930833333333,0.34480703802816925,True,1.4897602040875313e-09,0,5
253,93996,93996,cg04894619,-5.6298694776172065,8.46986801920506e-08,1.9153844933708328,0.049847395833333336,0.09547692901408453,True,0.03592467605279648,0,5
265,100685,100685,ch.4.194519R,6.32667077176908,2.662583273441437e-09,0.6380592003455968,0.034632875000000014,0.022097824528169014,True,0.0011505986197795082,0,5
267,102356,102356,cg23995914,-5.704845451558333,5.903327555537296e-08,1.731878222130374,0.1507396583333333,0.2610627314788733,True,0.025179994573483855,0,5
