,Sample,Age,Sex,Tissue
52,E-GEOD-36194_GSM884791,73.0,male,frontal cortex
54,E-GEOD-36194_GSM884710,18.0,female,frontal cortex
55,E-GEOD-36194_GSM884622,42.0,male,frontal cortex
56,E-GEOD-36194_GSM884807,78.0,male,frontal cortex
57,E-GEOD-36194_GSM884757,61.0,male,frontal cortex
58,E-GEOD-36194_GSM884681,75.0,female,frontal cortex
59,E-GEOD-36194_GSM884707,17.0,male,frontal cortex
61,E-GEOD-36194_GSM884682,56.0,male,frontal cortex
62,E-GEOD-36194_GSM884787,73.0,male,frontal cortex
64,E-GEOD-36194_GSM884817,86.0,male,frontal cortex
65,E-GEOD-36194_GSM884719,13.0,male,frontal cortex
66,E-GEOD-36194_GSM884753,6.0,male,frontal cortex
67,E-GEOD-36194_GSM884828,70.0,male,frontal cortex
68,E-GEOD-36194_GSM884774,75.0,female,frontal cortex
69,E-GEOD-36194_GSM884834,57.0,female,frontal cortex
70,E-GEOD-36194_GSM884725,94.0,male,frontal cortex
71,E-GEOD-36194_GSM884752,52.0,male,frontal cortex
72,E-GEOD-36194_GSM884668,48.0,male,frontal cortex
73,E-GEOD-36194_GSM884824,19.0,male,frontal cortex
74,E-GEOD-36194_GSM884694,12.0,male,frontal cortex
75,E-GEOD-36194_GSM884794,89.0,male,frontal cortex
76,E-GEOD-36194_GSM884697,50.0,female,frontal cortex
77,E-GEOD-36194_GSM884771,56.0,male,frontal cortex
78,E-GEOD-36194_GSM884709,19.0,female,frontal cortex
79,E-GEOD-36194_GSM884820,70.0,female,frontal cortex
80,E-GEOD-36194_GSM884728,14.0,male,frontal cortex
81,E-GEOD-36194_GSM884654,68.0,male,frontal cortex
82,E-GEOD-36194_GSM884838,13.0,male,frontal cortex
83,E-GEOD-36194_GSM884656,50.0,female,frontal cortex
84,E-GEOD-36194_GSM884687,4.0,male,frontal cortex
85,E-GEOD-36194_GSM884823,86.0,female,frontal cortex
86,E-GEOD-36194_GSM884726,52.0,male,frontal cortex
87,E-GEOD-36194_GSM884808,63.0,male,frontal cortex
88,E-GEOD-36194_GSM884666,16.0,male,frontal cortex
89,E-GEOD-36194_GSM884819,73.0,male,frontal cortex
90,E-GEOD-36194_GSM884678,5.0,male,frontal cortex
91,E-GEOD-36194_GSM884815,69.0,male,frontal cortex
94,E-GEOD-36194_GSM884802,78.0,male,frontal cortex
98,E-GEOD-36194_GSM884616,40.0,female,frontal cortex
99,E-GEOD-36194_GSM884760,11.0,male,frontal cortex
100,E-GEOD-36194_GSM884727,19.0,male,frontal cortex
102,E-GEOD-36194_GSM884803,82.0,male,frontal cortex
104,E-GEOD-36194_GSM884689,52.0,male,frontal cortex
105,E-GEOD-36194_GSM884717,17.0,female,frontal cortex
106,E-GEOD-36194_GSM884731,16.0,female,frontal cortex
107,E-GEOD-36194_GSM884613,24.0,male,frontal cortex
108,E-GEOD-36194_GSM884816,78.0,male,frontal cortex
109,E-GEOD-36194_GSM884693,36.0,male,frontal cortex
110,E-GEOD-36194_GSM884704,46.0,male,frontal cortex
111,E-GEOD-36194_GSM884782,95.0,male,frontal cortex
112,E-GEOD-36194_GSM884646,73.0,male,frontal cortex
113,E-GEOD-36194_GSM884804,83.0,male,frontal cortex
114,E-GEOD-36194_GSM884839,24.0,female,frontal cortex
115,E-GEOD-36194_GSM884701,80.0,male,frontal cortex
117,E-GEOD-36194_GSM884685,15.0,male,frontal cortex
118,E-GEOD-36194_GSM884799,83.0,male,frontal cortex
119,E-GEOD-36194_GSM884795,86.0,male,frontal cortex
121,E-GEOD-36194_GSM884776,87.0,female,frontal cortex
122,E-GEOD-36194_GSM884679,17.0,male,frontal cortex
123,E-GEOD-36194_GSM884663,79.0,male,frontal cortex
125,E-GEOD-36194_GSM884649,90.0,female,frontal cortex
126,E-GEOD-36194_GSM884640,38.0,male,frontal cortex
128,E-GEOD-36194_GSM884650,38.0,male,frontal cortex
129,E-GEOD-36194_GSM884610,19.0,female,frontal cortex
130,E-GEOD-36194_GSM884696,50.0,male,frontal cortex
131,E-GEOD-36194_GSM884810,85.0,female,frontal cortex
132,E-GEOD-36194_GSM884724,91.0,male,frontal cortex
133,E-GEOD-36194_GSM884835,20.0,male,frontal cortex
134,E-GEOD-36194_GSM884831,33.0,female,frontal cortex
136,E-GEOD-36194_GSM884756,1.0,male,frontal cortex
137,E-GEOD-36194_GSM884706,12.0,female,frontal cortex
138,E-GEOD-36194_GSM884608,14.0,male,frontal cortex
140,E-GEOD-36194_GSM884732,35.0,male,frontal cortex
141,E-GEOD-36194_GSM884755,63.0,female,frontal cortex
142,E-GEOD-36194_GSM884800,87.0,male,frontal cortex
143,E-GEOD-36194_GSM884734,37.0,male,frontal cortex
144,E-GEOD-36194_GSM884843,2.0,female,frontal cortex
146,E-GEOD-36194_GSM884703,19.0,male,frontal cortex
147,E-GEOD-36194_GSM884740,15.0,male,frontal cortex
148,E-GEOD-36194_GSM884786,82.0,female,frontal cortex
149,E-GEOD-36194_GSM884611,42.0,male,frontal cortex
154,E-GEOD-36194_GSM884762,16.0,male,frontal cortex
155,E-GEOD-36194_GSM884742,1.0,male,frontal cortex
156,E-GEOD-36194_GSM884842,37.0,male,frontal cortex
157,E-GEOD-36194_GSM884660,19.0,male,frontal cortex
159,E-GEOD-36194_GSM884639,16.0,female,frontal cortex
161,E-GEOD-36194_GSM884645,17.0,male,frontal cortex
162,E-GEOD-36194_GSM884621,31.0,male,frontal cortex
163,E-GEOD-36194_GSM884674,78.0,male,frontal cortex
164,E-GEOD-36194_GSM884698,87.0,female,frontal cortex
165,E-GEOD-36194_GSM884658,76.0,male,frontal cortex
166,E-GEOD-36194_GSM884648,16.0,female,frontal cortex
167,E-GEOD-36194_GSM884796,86.0,male,frontal cortex
169,E-GEOD-36194_GSM884722,97.0,male,frontal cortex
170,E-GEOD-36194_GSM884769,36.0,male,frontal cortex
171,E-GEOD-36194_GSM884765,67.0,male,frontal cortex
172,E-GEOD-36194_GSM884688,36.0,female,frontal cortex
173,E-GEOD-36194_GSM884630,70.0,male,frontal cortex
174,E-GEOD-36194_GSM884705,25.0,female,frontal cortex
175,E-GEOD-36194_GSM884625,77.0,female,frontal cortex
177,E-GEOD-36194_GSM884783,83.0,female,frontal cortex
179,E-GEOD-36194_GSM884750,19.0,female,frontal cortex
180,E-GEOD-36194_GSM884718,33.0,female,frontal cortex
181,E-GEOD-36194_GSM884672,49.0,male,frontal cortex
182,E-GEOD-36194_GSM884664,45.0,male,frontal cortex
183,E-GEOD-36194_GSM884692,0.0,female,frontal cortex
184,E-GEOD-36194_GSM884715,47.0,male,frontal cortex
185,E-GEOD-36194_GSM884615,19.0,female,frontal cortex
186,E-GEOD-36194_GSM884720,44.0,female,frontal cortex
187,E-GEOD-36194_GSM884627,17.0,female,frontal cortex
188,E-GEOD-36194_GSM884624,17.0,male,frontal cortex
189,E-GEOD-36194_GSM884708,35.0,male,frontal cortex
190,E-GEOD-36194_GSM884759,18.0,male,frontal cortex
191,E-GEOD-36194_GSM884780,81.0,male,frontal cortex
192,E-GEOD-36194_GSM884699,89.0,female,frontal cortex
194,E-GEOD-36194_GSM884748,91.0,female,frontal cortex
195,E-GEOD-36194_GSM884833,14.0,male,frontal cortex
196,E-GEOD-36194_GSM884775,84.0,male,frontal cortex
198,E-GEOD-36194_GSM884635,58.0,female,frontal cortex
199,E-GEOD-36194_GSM884763,18.0,male,frontal cortex
200,E-GEOD-36194_GSM884766,18.0,female,frontal cortex
201,E-GEOD-36194_GSM884614,32.0,male,frontal cortex
202,E-GEOD-36194_GSM884665,8.0,male,frontal cortex
203,E-GEOD-36194_GSM884777,78.0,female,frontal cortex
205,E-GEOD-36194_GSM884790,82.0,male,frontal cortex
206,E-GEOD-36194_GSM884633,54.0,male,frontal cortex
207,E-GEOD-36194_GSM884826,48.0,female,frontal cortex
208,E-GEOD-36194_GSM884617,28.0,male,frontal cortex
209,E-GEOD-36194_GSM884747,91.0,female,frontal cortex
212,E-GEOD-36194_GSM884716,14.0,male,frontal cortex
213,E-GEOD-36194_GSM884805,76.0,male,frontal cortex
214,E-GEOD-36194_GSM884712,51.0,female,frontal cortex
215,E-GEOD-36194_GSM884830,10.0,female,frontal cortex
216,E-GEOD-36194_GSM884785,80.0,male,frontal cortex
217,E-GEOD-36194_GSM884657,21.0,male,frontal cortex
218,E-GEOD-36194_GSM884676,94.0,female,frontal cortex
219,E-GEOD-36194_GSM884677,85.0,male,frontal cortex
220,E-GEOD-36194_GSM884827,34.0,male,frontal cortex
221,E-GEOD-36194_GSM884638,86.0,female,frontal cortex
222,E-GEOD-36194_GSM884745,53.0,male,frontal cortex
223,E-GEOD-36194_GSM884772,81.0,male,frontal cortex
224,E-GEOD-36194_GSM884749,90.0,male,frontal cortex
225,E-GEOD-36194_GSM884818,85.0,female,frontal cortex
226,E-GEOD-36194_GSM884809,86.0,female,frontal cortex
229,E-GEOD-36194_GSM884798,78.0,female,frontal cortex
230,E-GEOD-36194_GSM884789,82.0,male,frontal cortex
231,E-GEOD-36194_GSM884659,44.0,male,frontal cortex
232,E-GEOD-36194_GSM884713,1.0,male,frontal cortex
233,E-GEOD-36194_GSM884733,25.0,female,frontal cortex
234,E-GEOD-36194_GSM884647,45.0,male,frontal cortex
236,E-GEOD-36194_GSM884673,42.0,male,frontal cortex
237,E-GEOD-36194_GSM884741,13.0,male,frontal cortex
238,E-GEOD-36194_GSM884778,88.0,female,frontal cortex
239,E-GEOD-36194_GSM884822,69.0,male,frontal cortex
240,E-GEOD-36194_GSM884662,15.0,male,frontal cortex
241,E-GEOD-36194_GSM884837,1.0,female,frontal cortex
242,E-GEOD-36194_GSM884620,51.0,male,frontal cortex
243,E-GEOD-36194_GSM884812,84.0,male,frontal cortex
245,E-GEOD-36194_GSM884746,95.0,female,frontal cortex
246,E-GEOD-36194_GSM884626,2.0,female,frontal cortex
247,E-GEOD-36194_GSM884631,82.0,male,frontal cortex
248,E-GEOD-36194_GSM884829,42.0,female,frontal cortex
249,E-GEOD-36194_GSM884653,87.0,female,frontal cortex
251,E-GEOD-36194_GSM884632,30.0,male,frontal cortex
252,E-GEOD-36194_GSM884744,49.0,male,frontal cortex
253,E-GEOD-36194_GSM884739,17.0,male,frontal cortex
254,E-GEOD-36194_GSM884758,61.0,male,frontal cortex
255,E-GEOD-36194_GSM884711,36.0,male,frontal cortex
256,E-GEOD-36194_GSM884751,77.0,female,frontal cortex
257,E-GEOD-36194_GSM884661,15.0,female,frontal cortex
258,E-GEOD-36194_GSM884651,66.0,male,frontal cortex
259,E-GEOD-36194_GSM884797,85.0,male,frontal cortex
260,E-GEOD-36194_GSM884634,2.0,female,frontal cortex
261,E-GEOD-36194_GSM884764,38.0,male,frontal cortex
262,E-GEOD-36194_GSM884773,76.0,female,frontal cortex
263,E-GEOD-36194_GSM884793,88.0,female,frontal cortex
265,E-GEOD-36194_GSM884729,7.0,male,frontal cortex
266,E-GEOD-36194_GSM884700,86.0,male,frontal cortex
267,E-GEOD-36194_GSM884743,15.0,male,frontal cortex
268,E-GEOD-36194_GSM884754,45.0,male,frontal cortex
269,E-GEOD-36194_GSM884652,91.0,male,frontal cortex
270,E-GEOD-36194_GSM884779,90.0,female,frontal cortex
271,E-GEOD-36194_GSM884655,16.0,male,frontal cortex
273,E-GEOD-36194_GSM884736,19.0,male,frontal cortex
274,E-GEOD-36194_GSM884686,42.0,male,frontal cortex
275,E-GEOD-36194_GSM884761,49.0,male,frontal cortex
277,E-GEOD-15745_GSM401772,43.0,female,frontal cortex
278,E-GEOD-15745_GSM401780,39.0,male,frontal cortex
281,E-GEOD-15745_GSM401691,46.0,male,frontal cortex
291,E-GEOD-15745_GSM401689,56.0,male,frontal cortex
295,E-GEOD-15745_GSM401751,92.0,female,frontal cortex
297,E-GEOD-15745_GSM401715,49.0,female,frontal cortex
308,E-GEOD-15745_GSM401774,89.0,male,frontal cortex
311,E-GEOD-15745_GSM401723,17.0,male,frontal cortex
316,E-GEOD-15745_GSM401672,58.0,male,frontal cortex
322,E-GEOD-15745_GSM401660,44.0,male,frontal cortex
323,E-GEOD-15745_GSM401754,82.0,male,frontal cortex
325,E-GEOD-15745_GSM401729,32.0,male,frontal cortex
327,E-GEOD-15745_GSM401708,45.0,female,frontal cortex
330,E-GEOD-15745_GSM401663,66.0,male,frontal cortex
334,E-GEOD-15745_GSM401694,41.0,female,frontal cortex
338,E-GEOD-15745_GSM401746,79.0,male,frontal cortex
340,E-GEOD-15745_GSM401766,25.0,male,frontal cortex
344,E-GEOD-15745_GSM401737,40.0,male,frontal cortex
345,E-GEOD-15745_GSM401757,86.0,male,frontal cortex
347,E-GEOD-15745_GSM401791,26.0,male,frontal cortex
348,E-GEOD-15745_GSM401666,22.0,female,frontal cortex
350,E-GEOD-15745_GSM401783,61.0,male,frontal cortex
353,E-GEOD-15745_GSM401789,33.0,male,frontal cortex
358,E-GEOD-15745_GSM401771,57.0,male,frontal cortex
363,E-GEOD-15745_GSM401692,34.0,male,frontal cortex
364,E-GEOD-15745_GSM401778,43.0,male,frontal cortex
365,E-GEOD-15745_GSM401738,23.0,male,frontal cortex
366,E-GEOD-15745_GSM401697,29.0,male,frontal cortex
372,E-GEOD-15745_GSM401760,48.0,male,frontal cortex
386,E-GEOD-15745_GSM401740,39.0,female,frontal cortex
391,E-GEOD-15745_GSM401720,37.0,male,frontal cortex
393,E-GEOD-15745_GSM401786,26.0,female,frontal cortex
403,E-GEOD-15745_GSM401671,23.0,male,frontal cortex
407,E-GEOD-15745_GSM401695,45.0,male,frontal cortex
408,E-GEOD-15745_GSM401755,96.0,male,frontal cortex
421,E-GEOD-15745_GSM401714,53.0,male,frontal cortex
430,E-GEOD-15745_GSM401683,17.0,female,frontal cortex
432,E-GEOD-15745_GSM401743,82.0,male,frontal cortex
433,E-GEOD-15745_GSM401717,57.0,male,frontal cortex
436,E-GEOD-15745_GSM401675,62.0,male,frontal cortex
437,E-GEOD-15745_GSM401758,86.0,male,frontal cortex
439,E-GEOD-15745_GSM401731,20.0,male,frontal cortex
441,E-GEOD-15745_GSM401700,19.0,female,frontal cortex
458,E-GEOD-15745_GSM401703,59.0,male,frontal cortex
461,E-GEOD-15745_GSM401711,38.0,female,frontal cortex
462,E-GEOD-15745_GSM401732,90.0,female,frontal cortex
465,E-GEOD-15745_GSM401674,35.0,male,frontal cortex
468,E-GEOD-15745_GSM401668,19.0,male,frontal cortex
472,E-GEOD-15745_GSM401680,43.0,male,frontal cortex
473,E-GEOD-15745_GSM401686,48.0,male,frontal cortex
474,E-GEOD-15745_GSM401734,95.0,female,frontal cortex
479,E-GEOD-15745_GSM401688,18.0,male,frontal cortex
482,E-GEOD-15745_GSM401763,92.0,male,frontal cortex
486,E-GEOD-15745_GSM401709,40.0,female,frontal cortex
488,E-GEOD-15745_GSM401777,24.0,male,frontal cortex
493,E-GEOD-15745_GSM401706,21.0,male,frontal cortex
496,E-GEOD-15745_GSM401769,58.0,male,frontal cortex
497,E-GEOD-15745_GSM401677,28.0,male,frontal cortex
500,E-GEOD-15745_GSM401752,101.0,female,frontal cortex
502,E-GEOD-15745_GSM401735,47.0,female,frontal cortex
504,E-GEOD-15745_GSM401712,18.0,female,frontal cortex
508,E-GEOD-36194_GSM401691,46.0,male,frontal cortex
519,E-GEOD-36194_GSM401689,56.0,male,frontal cortex
529,E-GEOD-36194_GSM401705,53.0,male,frontal cortex
530,E-GEOD-36194_GSM401664,16.0,male,frontal cortex
538,E-GEOD-36194_GSM401693,28.0,male,frontal cortex
540,E-GEOD-36194_GSM401672,58.0,male,frontal cortex
541,E-GEOD-36194_GSM401684,20.0,male,frontal cortex
543,E-GEOD-36194_GSM401660,44.0,male,frontal cortex
547,E-GEOD-36194_GSM401665,57.0,male,frontal cortex
549,E-GEOD-36194_GSM401708,45.0,female,frontal cortex
551,E-GEOD-36194_GSM401663,66.0,male,frontal cortex
552,E-GEOD-36194_GSM401676,48.0,male,frontal cortex
553,E-GEOD-36194_GSM401694,41.0,female,frontal cortex
554,E-GEOD-36194_GSM401685,33.0,female,frontal cortex
555,E-GEOD-36194_GSM401670,47.0,female,frontal cortex
559,E-GEOD-36194_GSM401667,25.0,female,frontal cortex
561,E-GEOD-36194_GSM401666,22.0,female,frontal cortex
562,E-GEOD-36194_GSM401696,43.0,male,frontal cortex
563,E-GEOD-36194_GSM401687,16.0,female,frontal cortex
564,E-GEOD-36194_GSM401701,49.0,male,frontal cortex
566,E-GEOD-36194_GSM401692,34.0,male,frontal cortex
568,E-GEOD-36194_GSM401697,29.0,male,frontal cortex
572,E-GEOD-36194_GSM401690,19.0,female,frontal cortex
581,E-GEOD-36194_GSM401682,33.0,female,frontal cortex
591,E-GEOD-36194_GSM401661,68.0,male,frontal cortex
595,E-GEOD-36194_GSM401704,39.0,male,frontal cortex
597,E-GEOD-36194_GSM401671,23.0,male,frontal cortex
600,E-GEOD-36194_GSM401695,45.0,male,frontal cortex
609,E-GEOD-36194_GSM401662,38.0,male,frontal cortex
616,E-GEOD-36194_GSM401683,17.0,female,frontal cortex
621,E-GEOD-36194_GSM401675,62.0,male,frontal cortex
626,E-GEOD-36194_GSM401700,19.0,female,frontal cortex
630,E-GEOD-36194_GSM401669,48.0,male,frontal cortex
631,E-GEOD-36194_GSM401678,47.0,male,frontal cortex
633,E-GEOD-36194_GSM401707,18.0,female,frontal cortex
639,E-GEOD-36194_GSM401703,59.0,male,frontal cortex
641,E-GEOD-36194_GSM401698,73.0,female,frontal cortex
646,E-GEOD-36194_GSM401659,20.0,male,frontal cortex
647,E-GEOD-36194_GSM401674,35.0,male,frontal cortex
650,E-GEOD-36194_GSM401668,19.0,male,frontal cortex
652,E-GEOD-36194_GSM401680,43.0,male,frontal cortex
654,E-GEOD-36194_GSM401686,48.0,male,frontal cortex
660,E-GEOD-36194_GSM401688,18.0,male,frontal cortex
664,E-GEOD-36194_GSM401679,28.0,male,frontal cortex
666,E-GEOD-36194_GSM401699,32.0,male,frontal cortex
667,E-GEOD-36194_GSM401702,48.0,female,frontal cortex
671,E-GEOD-36194_GSM401681,49.0,female,frontal cortex
672,E-GEOD-36194_GSM401706,21.0,male,frontal cortex
673,E-GEOD-36194_GSM401677,28.0,male,frontal cortex
674,E-GEOD-36194_GSM401673,66.0,male,frontal cortex
678,E-GEOD-36194_GSM401739,33.0,male,frontal cortex
679,E-GEOD-36194_GSM401733,46.0,female,frontal cortex
681,E-GEOD-36194_GSM401772,43.0,female,frontal cortex
684,E-GEOD-36194_GSM401780,39.0,male,frontal cortex
685,E-GEOD-36194_GSM401749,75.0,male,frontal cortex
687,E-GEOD-36194_GSM401773,45.0,male,frontal cortex
688,E-GEOD-36194_GSM401724,16.0,male,frontal cortex
689,E-GEOD-36194_GSM401726,20.0,female,frontal cortex
694,E-GEOD-36194_GSM401776,54.0,male,frontal cortex
703,E-GEOD-36194_GSM401751,92.0,female,frontal cortex
705,E-GEOD-36194_GSM401730,20.0,male,frontal cortex
707,E-GEOD-36194_GSM401736,48.0,male,frontal cortex
708,E-GEOD-36194_GSM401715,49.0,female,frontal cortex
709,E-GEOD-36194_GSM401787,67.0,male,frontal cortex
713,E-GEOD-36194_GSM401744,47.0,female,frontal cortex
715,E-GEOD-36194_GSM401790,27.0,female,frontal cortex
716,E-GEOD-36194_GSM401774,89.0,male,frontal cortex
723,E-GEOD-36194_GSM401723,17.0,male,frontal cortex
729,E-GEOD-36194_GSM401747,96.0,female,frontal cortex
733,E-GEOD-36194_GSM401767,48.0,male,frontal cortex
734,E-GEOD-36194_GSM401754,82.0,male,frontal cortex
736,E-GEOD-36194_GSM401729,32.0,male,frontal cortex
740,E-GEOD-36194_GSM401716,16.0,male,frontal cortex
741,E-GEOD-36194_GSM401781,72.0,female,frontal cortex
753,E-GEOD-36194_GSM401746,79.0,male,frontal cortex
756,E-GEOD-36194_GSM401766,25.0,male,frontal cortex
759,E-GEOD-36194_GSM401737,40.0,male,frontal cortex
760,E-GEOD-36194_GSM401757,86.0,male,frontal cortex
767,E-GEOD-36194_GSM401791,26.0,male,frontal cortex
771,E-GEOD-36194_GSM401783,61.0,male,frontal cortex
775,E-GEOD-36194_GSM401762,48.0,male,frontal cortex
779,E-GEOD-36194_GSM401789,33.0,male,frontal cortex
782,E-GEOD-36194_GSM401771,57.0,male,frontal cortex
783,E-GEOD-36194_GSM401710,19.0,male,frontal cortex
792,E-GEOD-36194_GSM401778,43.0,male,frontal cortex
795,E-GEOD-36194_GSM401738,23.0,male,frontal cortex
796,E-GEOD-36194_GSM401725,93.0,female,frontal cortex
801,E-GEOD-36194_GSM401741,84.0,male,frontal cortex
803,E-GEOD-36194_GSM401760,48.0,male,frontal cortex
808,E-GEOD-36194_GSM401745,87.0,male,frontal cortex
820,E-GEOD-36194_GSM401748,95.0,male,frontal cortex
824,E-GEOD-36194_GSM401770,90.0,female,frontal cortex
826,E-GEOD-36194_GSM401740,39.0,female,frontal cortex
834,E-GEOD-36194_GSM401720,37.0,male,frontal cortex
836,E-GEOD-36194_GSM401786,26.0,female,frontal cortex
843,E-GEOD-36194_GSM401753,92.0,female,frontal cortex
848,E-GEOD-36194_GSM401755,96.0,male,frontal cortex
861,E-GEOD-36194_GSM401714,53.0,male,frontal cortex
863,E-GEOD-36194_GSM401764,88.0,male,frontal cortex
868,E-GEOD-36194_GSM401765,39.0,female,frontal cortex
869,E-GEOD-36194_GSM401719,39.0,female,frontal cortex
870,E-GEOD-36194_GSM401727,48.0,female,frontal cortex
871,E-GEOD-36194_GSM401743,82.0,male,frontal cortex
872,E-GEOD-36194_GSM401717,57.0,male,frontal cortex
874,E-GEOD-36194_GSM401758,86.0,male,frontal cortex
875,E-GEOD-36194_GSM401731,20.0,male,frontal cortex
881,E-GEOD-36194_GSM401722,20.0,female,frontal cortex
885,E-GEOD-36194_GSM401742,83.0,male,frontal cortex
890,E-GEOD-36194_GSM401718,42.0,male,frontal cortex
893,E-GEOD-36194_GSM401711,38.0,female,frontal cortex
895,E-GEOD-36194_GSM401732,90.0,female,frontal cortex
901,E-GEOD-36194_GSM401784,40.0,male,frontal cortex
904,E-GEOD-36194_GSM401759,89.0,male,frontal cortex
905,E-GEOD-36194_GSM401734,95.0,female,frontal cortex
906,E-GEOD-36194_GSM401721,41.0,male,frontal cortex
908,E-GEOD-36194_GSM401788,31.0,female,frontal cortex
915,E-GEOD-36194_GSM401728,22.0,male,frontal cortex
916,E-GEOD-36194_GSM401763,92.0,male,frontal cortex
918,E-GEOD-36194_GSM401709,40.0,female,frontal cortex
921,E-GEOD-36194_GSM401785,22.0,male,frontal cortex
925,E-GEOD-36194_GSM401775,55.0,male,frontal cortex
928,E-GEOD-36194_GSM401777,24.0,male,frontal cortex
929,E-GEOD-36194_GSM401713,73.0,male,frontal cortex
930,E-GEOD-36194_GSM401782,43.0,male,frontal cortex
931,E-GEOD-36194_GSM401761,27.0,male,frontal cortex
934,E-GEOD-36194_GSM401768,42.0,female,frontal cortex
935,E-GEOD-36194_GSM401750,42.0,male,frontal cortex
941,E-GEOD-36194_GSM401756,85.0,female,frontal cortex
942,E-GEOD-36194_GSM401769,58.0,male,frontal cortex
943,E-GEOD-36194_GSM401752,101.0,female,frontal cortex
948,E-GEOD-36194_GSM401735,47.0,female,frontal cortex
951,E-GEOD-36194_GSM401712,18.0,female,frontal cortex
953,E-GEOD-36194_GSM401779,18.0,male,frontal cortex
